resy_id,name,neighborhood,city
60381,Le Dive,Lower East Side,ny
48156,BABY BRASA,West Village,ny
64803,Bocca,Flatiron/ Gramercy Park,ny
58431,Reserve Cut,New York,ny
33092,OTB,Williamsburg,ny
65670,Monterey,Midtown East,ny
54578,Avra Madison,Midtown,ny
36902,Rolo's,Ridgewood,ny
4914,The Butcher's Daughter - Nolita,Nolita,ny
56588,Mojo Omakase,New York,ny
52909,Empire Diner NYC,West Chelsea,ny
3771,Uncle Peter's,Jackson Heights,ny
60357,Barbounia,Gramercy,ny
66463,American Bistro,New York,ny
8302,Le Crocodile,Williamsburg,ny
50369,FancyFree,Fort Greene,ny
51757,Porcelain,Ridgewood,ny
31537,Torch & Crown Brewery & Restaurant,SoHo,ny
4908,Urban Vegan Kitchen,West Village,ny
61242,Smyth Tavern,Tribeca,ny
58525,Bogota Latin Bistro,Brooklyn,ny
1946,Frenchette,Tribeca,ny
36583,Hatsuhana Sushi Restaurant,Midtown East,ny
54299,MáLà Project Midtown East,New York,ny
69452,Caviar Russe - NYC,Midtown,ny
49456,Hummus Kitchen - UES,Upper East Side,ny
59068,Corner Bar,Lower East Side,ny
4450,Llama San,Lower Manhattan,ny
58565,Arte Cafe,New York,ny
58530,The Ten Bells- BK,Bushwick,ny
59421,Citrico Cafe,Astoria,ny
67403,TAPPO NYCThinCrust Pizza,Flatiron / Chelsea,ny
59048,Sushi Blossoms,New York,ny
58864,The Landing at Penn1,Midtown,ny
4538,queensyard: Restaurant,Hudson Yards,ny
60650,Chino Grande,Williamsburg,ny
611,LaRina Pastificio & Vino,Fort Greene,ny
60576,Casa Azul,Park Slope,ny
10120,Roxy Bar,Tribeca,ny
7505,Foxy Johns Bar & Kitchen,Midtown East,ny
66864,Valla Table,Hell's Kitchen,ny
51762,Omakase by korami,Hell’s Kitchen,ny
60366,French Roast,Upper West Side,ny
50923,Rivercrest,Astoria,ny
618,Ladybird,East Village,ny
64961,Periyali,Flatiron,ny
67606,Olle,New York,ny
55738,Felice Montague,Brooklyn Heights,ny
65433,Zaab Zaab,Williamsburg,ny
29276,Baci Staten Island,Dougan Hills,ewr
54657,Maggie's Place,Midtown,ny
6003,Roberta's,Bushwick,ny
26,Morandi,West Village,ny
7260,Il Fiorista,NoMad,ny
58242,Suite 704,Crown Heights,ny
52920,The Skylark,Midtown South,ny
66735,Kitchen 46 by DTM,New York,ny
54046,Rose Lane,Midtown East,ny
39817,Bar Crudo BK,Park Slope,ny
68095,Shaking Crab - Williamsburg,Brooklyn,ny
54750,Moko,East Village,ny
8043,Pasta Eater,Flatiron,ny
10582,Cask Bar + Kitchen,Murray Hill,ny
52150,Samurai Mama,Brooklyn,ny
60884,Il Gradino,Upper East Side,ny
43224,Tacombi - Upper East Side,Upper East Side,ny
57493,Egg Shop Nolita,New York,ny
60516,Casa D' Angelo,Little Italy,ny
3708,Au Za’atar East Village - 12th Street,East Village,ny
54714,Saint Julivert Fisherie,Cobble Hill,ny
59701,Obao - Hell's Kitchen,Hell's Kitchen,ny
5664,La Compagnie des Vins Surnaturels,Little Italy,ny
41970,Coarse NYC,West Village,ny
60358,L'Express,Gramercy Park/ Flatiron,ny
68049,Victory Restaurant & Lounge,New York,ny
1190,Loreley Beer Garden,Lower East Side,ny
51628,Maison Premiere,Williamsburg,ny
650,Frankies 457 Spuntino,Carroll Gardens,ny
53181,The Ellington,Upper West Side,ny
10242,Madam Ji Modern Indian Restaurant,Greenwich Village,ny
59703,Seamore's Brookfield,Battery Park,ny
39604,JungleBird,Chelsea,ny
59237,Café China,New York Midtown,ny
4970,Estiatorio Milos Hudson Yards,Hudson Yards,ny
41951,SUSHI ANN,Midtown East,ny
54972,Dutch Fred's,New York,ny
5811,The Bar Room,Upper East Side,ny
7342,Beebe's,Long Island City,ny
64838,Dar Yemma,Astoria,ny
891,Terra,TriBeCa,ny
5225,Take31,Nomad,ny
65332,T Bar NYC,New York,ny
58367,Sushi W,New York,ny
46385,Tru Astoria,Astoria Ditmars District,ny
7241,Raoul's,Soho,ny
53071,Trapizzino,New York,ny
4241,Buvette NYC,West Village,ny
54777,B'artusi,New York,ny
67646,The Press Club Grill,Midtown,ny
34822,Leo,Williamsburg,ny
6737,The Bonnie,Astoria,ny
44082,Chama Mama Chelsea,Chelsea,ny
38015,Turntable LP Bar & Karaoke,Midtown West,ny
1931,Little Alley,Murray Hill,ny
68557,Brooklyn Diner USA - 57th,New York,ny
10665,Le Bilboquet NY,Upper East Side,ny
857,Maison Pickle,Upper West Side,ny
59646,Pizzeria Panina,Queens,ny
6769,Electric Lemon,Hudson Yards,ny
50806,Michael's Restaurant,Midtown West,ny
36899,Blossom on Columbus,Upper West Side,ny
58690,NoMo Kitchen,New York,ny
54357,Greca,New York,ny
37862,The Grand Delancey,Lower East Side,ny
59005,Nai,East Village,ny
4956,12 Chairs Cafe Brooklyn,Williamsburg,ny
59933,Tonchin Brooklyn,Williamsburg,ny
2774,Gertie,Williamsburg,ny
8744,City Winery at Rockefeller Center,Midtown,ny
54225,Sant Ambroeus - Soho,Soho,ny
60029,Le Gratin,Lower Manhattan,ny
889,Aria Hell's Kitchen,Hells Kitchen,ny
65286,Earthen,Park Slope,ny
8776,Anassa Taverna Astoria,Astoria,ny
10412,Supper,East Village,ny
54637,Stafili Wine Cafe,West Village,ny
1388,Aldo Sohm Wine Bar,Theater District,ny
34814,The Tyger,Soho,ny
3622,The Happiest Hour,West Village,ny
53695,Studio 151,New York,ny
52416,LittleMad,NoMad,ny
59979,OCabanon,Chelsea,ny
61157,The Boil Brooklyn,Brooklyn,ny
6725,LaLou,Prospect Heights,ny
10205,Chez Nick,Upper East Side,ny
1696,Vinatería,Harlem,ny
2001,Gran Eléctrica,DUMBO,ny
53054,Serafina West 105,Upper West Side,ny
7140,Balvanera,Lower East Side,ny
36103,Reichenbach Hall,Midtown West,ny
66424,Empellón Taqueria Waterline Square,Upper West Side,ny
54449,Cha Kee,New York,ny
53767,Pulqueria,Chinatown,ny
818,Chinese Tuxedo,Chinatown,ny
42359,Isabelle's Osteria,Gramercy,ny
51395,The Gallery Bar // NeueHouse,Flatiron,ny
65660,Shaking Crab - Park Slope,Park Slope,ny
50562,Sushi Nonaka,Upper West Side,ny
36017,Ops,Bushwick,ny
3683,Pietro Nolita,Nolita,ny
1690,Tacombi - Empire State Building,Midtown East,ny
67469,Little Rascal - Greenpoint,Greenpoint,ny
1402,North Square Restaurant & Lounge,Greenwich Village,ny
1689,Fairfax,West Village,ny
52603,Jose Luis,East Village,ny
52635,Cull & Pistol,Chelsea,ny
6458,Baci Ristorante,Bay Ridge,ny
50955,Le Pavillon,Midtown,ny
8475,Bar Bête,Carroll Gardens,ny
65571,Lagano Bar & Restaurant,Astoria,ny
9896,Sen Sakana,Midtown,ny
54594,Felice 56,Midtown,ny
64003,La Pecora Bianca - UWS,New York,ny
44449,Bua Thai Ramen & Robata Grill,Upper East Side,ny
4994,12 Chairs Cafe Soho,Soho,ny
55270,Ama Raw Bar - West Village,West Village,ny
44151,Pig and Khao,Lower East Side,ny
64796,atti,Downtown Brooklyn,ny
1463,Queens Bully,Forest Hills,ny
64596,NARO,Rockefeller Center,ny
60791,West End,Hell’s Kitchen,ny
10843,VERSA NYC,Midtown,ny
60368,Dagon,Upper West Side,ny
4311,Nino's AQ,Astoria,ny
34941,Zia Maria - Little Italy,Little Italy/SoHo/NoHo/Downtown,ny
47868,Soda Club,East Village,ny
58751,Pebble Bar,Midtown,ny
10494,Saigon Social,Lower East Side,ny
59993,"The Garden at The Standard, East Village",New York,ny
68794,Betty,New York,ny
5456,Vinegar Hill House,Vinegar Hill,ny
28460,Yakitori Nonono,Nomad,ny
51225,Feile,Midtown,ny
4626,Colonia Verde,Fort Greene,ny
35694,The Lobster Club,Midtown East,ny
68214,El Fish Marisquería,Upper West Side,ny
39797,NR,Upper East Side,ny
4288,Estela,NoLita,ny
51429,The Woo,Soho,ny
1325,Emily WV,West Village,ny
2524,Roey's,West Village,ny
48995,Willow,Chelsea,ny
47376,Bacàn,Williamsburg,ny
60207,Nora Thai,Williamsburg,ny
55508,Medusa Greek Tavern,Brooklyn,ny
27219,Boqueria Soho,Soho,ny
10411,Frank,East Village,ny
10123,Gage & Tollner,Downtown Brooklyn,ny
29265,JIMMY,SOHO,ny
64816,11 Tigers,East Village,ny
60104,Peppercorn Station,Bryant Park,ny
37836,Tørst,Greenpoint,ny
43197,Sally's,Bed Stuy,ny
45055,Beyond Sushi UES,Upper East Side,ny
64707,Urban Vegan Roots,Astoria,ny
8541,Nowon,East Village,ny
65832,KAFANA,East Village,ny
36445,Koi New York,Bryant Park,ny
4570,Dear Irving on Hudson,Times Square/Hell's Kitchen,ny
35691,STK Midtown,Midtown,ny
69214,The Purple Tongue,New York,ny
70078,Levant on Smith,Brooklyn,ny
38882,Black Iris,Fort Greene,ny
50930,MAMO Restaurant,Soho,ny
43111,DOMODOMO New York,West Village,ny
66743,Lena - West Village,West Village,ny
42913,Two Hands Williamsburg,Williamsburg,ny
2038,Diner,Williamsburg,ny
54724,Ci Siamo,Midtown West,ny
28927,La Vara,Cobble Hill,ny
2490,Tsurutontan Midtown,Midtown,ny
5,Charlie Bird,SoHo,ny
2886,Las' Lap,Lower East Side,ny
4922,The Butcher's Daughter - West Village,West Village,ny
51484,Sea Thai Restaurant,Williamsburg,ny
58513,El Pingüino,Brooklyn,ny
8036,Bar Verde,East Village,ny
10413,Lil' Frankie's,East Village,ny
2052,SakaMai,Lower East Side,ny
58969,BòCàPhê Chelsea,Chelsea,ny
8476,Las Santas,Downtown Brooklyn,ny
5015,Sushi Lab Rooftop,Midtown,ny
6972,Endswell,Fort Greene,ny
52799,Gelso and Grand,New York,ny
561,Avant Garden,East Village,ny
5273,Dear Irving Gramercy,Gramercy,ny
50903,Bondi Sushi Bar - NoMad,NoMad,ny
38097,Printers Alley,Times Square,ny
67887,Fig & Olive - Fifth Avenue,Midtown East,ny
7993,Kurant Wine Bar,Midtown East,ny
37987,Leland Eating and Drinking House,Prospect Heights,ny
3597,Rafele Ristorante,West Village,ny
65222,Domakase,Alphabet City,ny
60046,Sea Salt,Midtown,ny
54813,Trad Room,Brooklyn,ny
60362,5 Napkin Burger - UWS,Upper West Side,ny
64872,Seppe Pizza Bar,Staten Island,ny
483,Nom Wah Tea Parlor,Chinatown,ny
51904,Bandits,West Village,ny
49671,SONA,Flatiron,ny
47399,Fandi Mata,Williamsburg,ny
58678,Bass and Bourbon,Red Hook,ny
53093,Fragole Ristorante,Carroll Gardens,ny
32003,FESTIVÁL,Midtown East,ny
51910,Up Thai,Upper East side,ny
5915,Paris Café,"New York, NY",ny
49982,Lure Fishbar,SoHo,ny
50417,Osteria Carlina,West Village,ny
10258,THE IZAKAYA NYC on 4th,East Village,ny
59218,Numero 28 East Village,New York,ny
53748,Miss Korea BBQ,Midtown,ny
65416,Cornelius Restaurant - Grand Central,New York,ny
6995,Vida Verde,Hells Kitchen,ny
8768,Fleming by Le Bilboquet,Upper East Side,ny
6209,Tacombi - Upper West Side,Upper West Side,ny
49137,One White Street,Tribeca,ny
40733,Mercato Trattoria,Hell's Kitchen,ny
65732,Pekarna,Upper West Side,ny
39190,La Pecora Bianca - Soho,SoHo,ny
1290,Dante,Greenwich Village,ny
43934,White Oak Tavern,Greenwich Village,ny
35216,LOULOU,Chelsea,ny
59064,PALPAL,NoMad,ny
58369,Eavesdrop,Greenpoint,ny
52911,Aldama,Brooklyn,ny
67242,Dalton's Bar & Grill,New York,ny
1386,Hart’s,Bedford-Stuyvesant,ny
58972,The Noortwyck,West Village,ny
49338,Yoon Haeundae Galbi,Midtown,ny
57629,The Buttery Bar,Greenpoint,ny
50476,Philippe Chow Uptown,Upper East Side,ny
55200,Tabare Bushwick,Brooklyn,ny
50227,Balthazar,Soho,ny
29967,Sadelle's,SOHO,ny
51152,Piacere,Nolita,ny
50918,Kuxé,Greenwich Village,ny
61066,Lena - Lower East Side,New York,ny
8446,The Shakespeare,Murray Hill,ny
65793,Allora Ristorante,New York,ny
59616,Lafolia,Midtown East,ny
60405,Cello Wine & Cocktail Bistro,Midtown East ,ny
67545,Chalong,Hell's Kitchen,ny
60303,53,Midtown,ny
64714,Ondo Omakase,NoHo,ny
8237,Souvlaki GR LES,Lower East Side,ny
50008,Uncle Ted's Chinese Cuisine,Greenwich Village,ny
10434,Vestry,SoHo,ny
646,King,SoHo,ny
52420,Motorino,east village,ny
53203,Sarashina Horii NYC,Gramercy,ny
58982,Coletta,New York,ny
50449,Egg Shop Williamsburg,Williamsburg,ny
65633,Bar Americano,Greenpoint,ny
59999,Avra Rockefeller Center,Midtown,ny
37953,Kings County Brewers Collective,Bushwick,ny
64759,Han Dynasty - Upper West Side,Upper West Side,ny
31204,Bondi Sushi Bar - Nolita,Nolita,ny
66586,Almar,DUMBO,ny
65507,K'Far Brooklyn,Williamsburg,ny
64730,Rang NYC,Long Island City,ny
67463,Mayahuel Bar & Restaurant,Astoria,ny
1677,Camillo,Prospect Lefferts Gardens,ny
1385,Cervo’s,Lower East Side,ny
395,Jeffrey's Grocery,West Village,ny
5972,Sushi on Jones West Village,West Village,ny
59213,Kesté Pizza & Vino,New York,ny
67404,POSTO NYCThinCrust Pizza,Gramercy Park,ny
1417,Izakaya Nomad,Flatiron,ny
50904,Bondi Sushi Bar - UES,Upper East Side,ny
29833,Fumo Harlem,Hamilton Heights,ny
60841,Citizens of Soho,Soho,ny
38670,Biga Bite,Lower East Side,ny
9888,Tacombi - Financial District,Financial District,ny
39366,Allswell,Williamsburg,ny
50754,Esme,Greenpoint,ny
653,Walter's,Fort Greene,ny
59203,The Terrace and Outdoor Gardens at the Times Square EDITION,Times Square,ny
58119,Fasano Restaurant New York,New York,ny
50364,JoJo by Jean-Georges,Upper East Side,ny
8656,Parm - Upper West Side,Upper West Side,ny
65387,C as in Charlie,NoHo,ny
65639,Leitao,West Village,ny
59077,Mollusca,Meatpacking,ny
60011,Tacos Güey,Flatiron District,ny
54639,Comodo,New York,ny
60908,Turntable Chicken & Rock,New York,ny
66855,Mile End Delicatessen,Brooklyn,ny
1876,Black Forest Brooklyn - Fort Greene,Fort Greene,ny
50056,The Consulate,Upper West Side,ny
725,Rosie’s,East Village,ny
27758,La Lanterna di Vittorio,Greenwich Village,ny
3832,David's Cafe,East Village,ny
51978,Chez Moi,Brooklyn Heights,ny
60058,Monkey Bar,Midtown East,ny
65773,La Esquina - Midtown,New York,ny
5217,Cent'Anni,Crown Heights,ny
54501,Wau Restaurant,Upper West Side,ny
1575,Shuka,Soho,ny
51649,Karczma Polish Restaurant,Greenpoint,ny
36591,Bar Boulud,Upper West Side,ny
29832,Fumo Upper West Side,Upper West Side,ny
55565,MAKI By AKIMORI,Brooklyn,ny
52850,Buddha-Bar Restaurant New York,Tribeca,ny
66647,Brasserie Fouquet’s New York,TriBeCa,ny
69732,Caleta,East Village,ny
5827,Pennsylvania 6 NYC,Chelsea,ny
8582,The HiHi Room by Court Street Grocers,Boerum Hill,ny
55683,Covacha,Upper West Side,ny
51892,Cafe du Soleil,Upper West Side,ny
5295,Popular,New York,ny
68244,Holywater,Tribeca,ny
6410,MáLà Project East Village,Lower Manhattan,ny
66711,PRANAKHON,Union Square,ny
698,Union Square Cafe,Union Square,ny
6043,REUNION,Williamsburg,ny
4895,Yara,Midtown East,ny
58364,The Early Edition,Herald Square,ny
54905,Kamasu by Kissaki,Hudson Yards,ny
51536,Stout NYC Grand Central,Midtown,ny
65421,City Winery - Grand Central,Grand Central,ny
54465,Taco Tumba,Astoria,ny
7425,Nami Nori West Village,West Village,ny
59638,Takumi Omakase,Lower East Side,ny
64565,Apotheke NoMad,NoMad,ny
37437,Riverpark,Kips Bay,ny
53215,Terasa North Ninth,Williamsburg,ny
53142,Lodi,Midtown,ny
10389,THE GRILL,Midtown East,ny
64561,P.J. Clarke's Lincoln Square,Lincoln Square,ny
9573,The Well Kitchen & Table,Union Square,ny
60919,Sushi by M - 5th Street,East Village-300 E 5th street,ny
55266,Jack & Charlie's 118,West Village,ny
59030,Hole in the Wall - Flatiron,New York,ny
58533,HIBINO - Brooklyn,Brooklyn,ny
707,Traif,Williamsburg,ny
6771,Amami Bar & Restaurant,Williamsburg,ny
3246,Aita Restaurant,Clinton Hill,ny
50423,Rosatoro,Astoria,ny
54784,Temple Bar,Noho,ny
32520,Dr Clark,Chinatown,ny
58422,The Waverly Inn,West Village,ny
64899,Mable's Smokehouse,Williamsburg,ny
55687,Dive Bar LIC,Long Island City,ny
5257,abc Cocina by Jean-Georges,Flatiron,ny
59704,Seamore's Dumbo,DUMBO,ny
65622,The Flying Cock,New York,ny
62813,Cool World,Greenpoint,ny
68382,Good Thanks,Williamsburg,ny
58553,Matsunori,New York,ny
679,Loring Place,Greenwich Village,ny
1435,The Spaniard,West Village,ny
32915,Mizu Sushi,Flatiron District,ny
1065,Motel Morris,Chelsea,ny
37895,Sabai,Flatiron,ny
9982,La Pecora Bianca - Bryant Park,Bryant Park,ny
4599,Wayan,Nolita,ny
49459,Red Lion,West Village,ny
64839,Daddies,West Village,ny
57311,Wild Restaurant,New York,ny
65282,Franchia Vegan Cafe,Murray Hill,ny
66542,Royal 35 Steakhouse,New York,ny
62748,Terrazzo,New York,ny
1444,Circa Brewing Co,Downtown Brooklyn,ny
10112,The Sea Fire Grill,Murray Hill,ny
58252,Northern Bell,Brooklyn,ny
10541,The Grand,Astoria,ny
3400,Banzarbar,Lower East Side,ny
1054,Bar Blondeau,Williamsburg,ny
1657,Subject: A Cocktail Bar,Lower East Side,ny
10364,Temerario,Chelsea,ny
1740,El Rio Grande,Murray Hill,ny
68558,Brooklyn Diner - 43rd,New York,ny
51406,Au Za’atar Midtown East - 58th Street,Midtown East,ny
51877,Tacombi - Long Island City,Long Island City,ny
60609,D’Antigua,"Jackson Heights, Queens",ny
50826,Peasant,Nolita,ny
64010,La Contenta,Lower East Side,ny
2801,Manhatta,Financial District,ny
50166,Loreto Italian Kitchen & Bar,Downtown Brooklyn,ny
65218,Nothing Really Matters,Midtown West,ny
4029,Aita Trattoria,Crown Heights,ny
892,Aria West Village,West Village,ny
1913,Scampi,Flatiron,ny
49937,Ulivo Trattoria Pastificio,Nomad,ny
54378,Motorino - Williamsburg,Williamsburg,ny
51975,Bohemien Bar,Brooklyn heights,ny
33858,Santa Panza,Bushwick,ny
55555,Carne Mare,Seaport,ny
60361,5 Napkin Burger - Hell's Kitchen,Hell's Kitchen,ny
60574,Nerai,New York,ny
64706,Osteria Accademia,Upper West Side,ny
3292,Pastavino,St George,ewr
34712,The Uptown Garrison,Washington Heights,ny
1010,Her Name is Han,Midtown,ny
67982,Everdene,NoMad,ny
53050,The Campbell,Grand Central Station,ny
1003,Roman's,Fort Greene,ny
60095,Dick & Jane's Bar Room,Bed-Stuy,ny
51793,Mémé on Hudson,West Village,ny
5748,The Ten Bells,Lower East Side,ny
861,Lamano Chelsea,Chelsea,ny
59583,The Factory 380,New York,ny
54791,Mari,New York,ny
1292,Red Hook Lobster Pound,Red Hook,ny
53039,Perrine,New York,ny
7502,Lola Taverna,SoHo,ny
50763,Trattoria Trecolori,Midtown West,ny
2543,Amali,Upper East Side,ny
55711,The Penny Farthing,New York,ny
59402,Ingas Bar,Brooklyn Heights,ny
54318,Sweetbriar,NoMad,ny
1704,Stout NYC Penn Station,Midtown,ny
68098,DDOBAR,Chelsea,ny
60691,Wollensky's Grill,Midtown East,ny
6093,Terrace at Nougatine by Jean-Georges,Upper West Side,ny
32148,Avena Ristorante UES,Upper East Side,ny
1671,Marlow Bistro,Upper West Side,ny
60373,Le Monde,Morningside Heights,ny
52984,Saint Theo's,West Village,ny
1220,Chez Ma Tante,Greenpoint,ny
53356,KUUN,Downtown Brooklyn,ny
41007,Serendipity 3,Upper East Side,ny
2238,Mayfield,Crown Heights,ny
64898,Il Cortile NY,Little Italy,ny
50424,The Gray Mare,East Village,ny
5589,Sushi Nakazawa NY,West Village,ny
34985,Cafe Mogador - East Village,East Village,ny
56563,Arthur & Sons NY Italian,West Village,ny
64695,Glasserie,Greenpoint,ny
40827,Court Street Tavern,Carroll Gardens,ny
1421,Noi Due Carne (Meat),Midtown West,ny
10272,A Pasta Bar,SOHO,ny
10483,Grand Bar & Salon at Soho Grand,SoHo,ny
58347,Benares Indian Restaurant - NYC,New York,ny
1994,Kubeh,West Village,ny
37849,Jackdaw: Cocktails & Kitchen,East Village,ny
54886,Skinos Mediterranean Cuisine,New York,ny
3413,Keens Steakhouse,Herald Square,ny
3431,Franks Wine Bar,Carroll Gardens,ny
3796,Momofuku Noodle Bar Uptown,Columbus Circle,ny
10191,Cebu Bistro,Bay Ridge,ny
58129,The Django,TriBeCa,ny
58776,Sami & Susu,Lower East Side,ny
49084,Spicy Moon Vegan East Village,East Village,ny
3065,Mace,West Village,ny
60608,Sicily,New York,ny
8346,Kochi,Hell's Kitchen,ny
54800,Le Jardinier NYC,Midtown East,ny
64682,390 Social,Brooklyn,ny
27757,District,Annadale,ny
65390,Essex,Lower East Side,ny
54191,The Joyce Public House,New York,ny
3301,Sociale,Carroll Gardens,ny
64116,FOB Brooklyn,Carroll Gardens,ny
52919,Sala Thai Restaurant,Upper West Side,ny
54343,Anassa Taverna - Downtown,New York,ny
36994,Vallata,Gramercy,ny
31199,Ainslie,Williamsburg,ny
6748,Graziella's Restaurant & Wood Burning Pizza,Clinton Hill/Ft Greene,ny
54904,Kissaki UWS,New York,ny
58606,Mareluna,New York,ny
9649,Barbuto,West Village,ny
54981,Le Marais,Theater District/Times Square,ny
65744,Rosevale Cocktail Room,Hell's Kitchen,ny
59096,Alfie's Kitchen & Craft Beer Bar,New York,ny
59623,Sands of Persia,Queens,ny
64726,IXTA,Bowery,ny
54342,The Mary Lane,West Village,ny
3011,The Malt House FiDi,Financial District,ny
52805,Sea Wolf Waterfront,Williamsburg Waterfront,ny
51455,Shiro Omakase - Upper West Side,Upper West Side,ny
52630,Contento,East Harlem,ny
60041,When in Bangkok,Murray Hill,ny
52783,Nonna Beppa,Soho,ny
53266,Mekelburg's,Brooklyn,ny
5399,Osamil,Korea Town,ny
65852,Bee’s Knees Provisions,Brooklyn,ny
4932,La Cava,Midtown East,ny
51172,The Chick Inn,Harlem,ny
65230,Shinzo Omakase,East Village,ny
10401,Gabriel Kreuther,"Bryant Park, Theater District",ny
52777,Anything At All,Roosevelt Island,ny
7991,Two Hands Tribeca,Tribeca,ny
10578,Silver Apricot,West Village,ny
37352,"The Lavaux, Swiss Wine and Fondue Bar",West Village,ny
5256,abcV by Jean-Georges,Union Square,ny
63241,Birds of a Feather,Williamsburg,ny
60102,Andrew Bellucci's Pizzeria,Astoria,ny
223,Freemans,Lower East Side,ny
1616,Celestine,Dumbo,ny
55591,L'Adresse NoMad,NoMad,ny
50425,Banc Cafe,Murray Hill,ny
59622,OKONOMI/YUJI Ramen,"Williamsburg, Brooklyn",ny
66437,Empellón,Midtown,ny
58357,Brown Sugar Restaurant,Inwood,ny
9811,Pastai,Chelsea,ny
54785,The Mean Fiddler,Hell's Kitchen,ny
45006,Beyond Sushi 56th St,Midtown,ny
28930,VERANDA RESTAURANT,Bayside,ny
3747,Epistrophy,Nolita,ny
4368,La Mercerie at The Guild,Soho,ny
10673,Favela Cubana,New York University,ny
2724,Emmy Squared East Village,East Village,ny
60031,Veronika (at Fotografiska),New York,ny
59702,Seamore's Chelsea,Chelsea,ny
927,Locanda Vini & Olii,Clinton Hill,ny
10150,The Mark Restaurant by Jean-Georges,Upper East Side,ny
59066,Cafe Rue Dix,Crown Heights ,ny
60445,Champers Social Club,Soho,ny
58469,Post,New York,ny
53199,Bobo NYC,West Village,ny
8283,Raines Law Room at the William,Midtown East/Murray Hill,ny
65245,Sala - Astoria,Astoria,ny
7295,The Bar Room at The Modern,Midtown,ny
66539,Casa Cruz,Midtown East,ny
51814,Fiat Cafe,Nolita,ny
47491,ATLA,Noho,ny
1999,Colonie,Brooklyn Heights,ny
69381,Sweet Brooklyn Bar,Brooklyn,ny
66736,Sushi by M - 4th St,East Village-75 E 4th Street,ny
4043,Dimes,Chinatown,ny
9675,Dante West Village,West Village,ny
68495,Caviar Kaspia at The Mark,Upper East Side,ny
52422,Aged Steakhouse,"Forest Hills, Queens , NY",ny
66683,Sakana Sushi & Hibachi Steakhouse,Staten Island,ny
675,il Buco,NoHo,ny
59028,Hole in the Wall - Williamsburg,Brooklyn,ny
43937,Longo Bros,Hell's Kitchen,ny
